prolly proximity benchmark
schema_version=2
revision=d5a24d63fd14a8fae454b16aee67050bdf0db8fc
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=100000
profile=quantizers
search_repeats=30
metric=L2Squared
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,1536,0,15756751.000,100000,0
source_closure_bytes,1536,0,0.000,903154774,21750
turboquant_build,1536,1,2809743.583,153600000,77600000
turboquant_build_resources,1536,1,0.000,3671614,2764800000
turboquant_build,1536,2,2395256.250,153600000,77600000
turboquant_build_resources,1536,2,0.000,3671614,2764800000
turboquant_build,1536,4,1831466.166,153600000,77600000
turboquant_build_resources,1536,4,0.000,3671614,2764800000
turboquant_sidecar_bytes,1536,0,0.000,78157465,77600000
turboquant_manifest_code_bytes,1536,0,0.000,137,78157328
turboquant_search_scalar,1536,0,288257.083,100000,80
turboquant_search_scalar_p95,1536,0,322335.584,78092880,201677645
turboquant_search_scalar_p99,1536,0,328593.250,80,124431727
turboquant_search_scalar_work,1536,0,0.000,80,1
turboquant_search_scalar_io,1536,0,0.000,100080,737
turboquant_search_scalar_rerank,1536,0,0.000,80,78092880
turboquant_recall,1536,0,0,0.000000,0.00952289260427417
turboquant_search_simd,1536,0,322679.208,100000,80
turboquant_search_simd_p95,1536,0,345000.792,78092880,201677645
turboquant_search_simd_p99,1536,0,355084.417,80,124431727
turboquant_search_simd_work,1536,0,0.000,80,1
turboquant_search_simd_io,1536,0,0.000,100080,737
turboquant_search_simd_rerank,1536,0,0.000,80,78092880
turboquant_search_auto,1536,0,286671.958,100000,80
turboquant_search_auto_p95,1536,0,304349.917,78092880,201677645
turboquant_search_auto_p99,1536,0,340455.542,80,124431727
turboquant_search_auto_work,1536,0,0.000,80,1
turboquant_search_auto_io,1536,0,0.000,100080,737
turboquant_search_auto_rerank,1536,0,0.000,80,78092880
pq_build,1536,1,8287180.833,33554432,100000
pq_build,1536,2,5334456.667,33554432,100000
pq_build,1536,4,4534129.375,33554432,100000
pq_sidecar_bytes,1536,0,0.000,1355801,100000
pq_manifest_code_bytes,1536,0,0.000,98473,1257328
pq_search,1536,0,12924.709,100000,80
pq_search_p95,1536,0,13725.125,1292880,0
pq_search_p99,1536,0,13830.166,80,47965995
pq_search_work,1536,0,0.000,80,1
pq_search_io,1536,0,0.000,100080,0
pq_search_rerank,1536,0,0.000,80,1292880
pq_recall,1536,0,0,0.000000,0
