prolly proximity benchmark
schema_version=4
dataset=linear-mod-2000003-v2
revision=729c2ffac8835db9c99d7706746c321067abfa1d
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=10000
profile=quantizers
search_repeats=30
metric=Cosine
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=16
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,909250.583,10000,0
source_closure_bytes,768,0,0.000,90557210,10169
turboquant_build,768,1,139617.917,7680000,3920000
turboquant_build_resources,768,1,0.000,1709751,122880000
turboquant_build,768,2,108382.167,7680000,3920000
turboquant_build_resources,768,2,0.000,1709751,122880000
turboquant_build,768,4,89332.750,7680000,3920000
turboquant_build_resources,768,4,0.000,1709751,122880000
turboquant_sidecar_bytes,768,0,0.000,3975264,3920000
turboquant_manifest_code_bytes,768,0,0.000,136,3975128
turboquant_search_scalar,768,0,10256.833,10000,160
turboquant_search_scalar_p95,768,0,11833.042,4414240,0
turboquant_search_scalar_p99,768,0,11987.292,160,3423880
turboquant_search_scalar_work,768,0,0.000,160,1
turboquant_search_scalar_io,768,0,0.000,10160,0
turboquant_search_scalar_rerank,768,0,0.000,160,4414240
turboquant_recall,768,0,0,0.000000,0.009584430615167594
turboquant_search_simd,768,0,16708.291,10000,160
turboquant_search_simd_p95,768,0,88191.541,4414240,0
turboquant_search_simd_p99,768,0,116905.125,160,3423880
turboquant_search_simd_work,768,0,0.000,160,1
turboquant_search_simd_io,768,0,0.000,10160,0
turboquant_search_simd_rerank,768,0,0.000,160,4414240
turboquant_search_auto,768,0,9941.375,10000,160
turboquant_search_auto_p95,768,0,10417.708,4414240,0
turboquant_search_auto_p99,768,0,10531.416,160,3423880
turboquant_search_auto_work,768,0,0.000,160,1
turboquant_search_auto_io,768,0,0.000,10160,0
turboquant_search_auto_rerank,768,0,0.000,160,4414240
pq_build,768,1,446623.541,5120000,10000
pq_build,768,2,302736.625,5120000,10000
pq_build,768,4,232858.125,5120000,10000
pq_sidecar_bytes,768,0,0.000,174439,10000
pq_manifest_code_bytes,768,0,0.000,49311,125128
pq_search,768,0,1551.250,10000,160
pq_search_p95,768,0,1717.959,574240,0
pq_search_p99,768,0,1806.625,160,3046949
pq_search_work,768,0,0.000,160,1
pq_search_io,768,0,0.000,10160,0
pq_search_rerank,768,0,0.000,160,574240
pq_recall,768,0,0,1.000000,0
